
,X,Y,Z,time
,0.31,-3.66,-2.26,2025-03-17T15:11:56.510052Z
,3.66,-3.66,-1.4,2025-03-17T15:11:57.586629Z
,0.85,-3.72,-2.26,2025-03-17T15:11:58.689266Z
,0.98,-3.6,-2.08,2025-03-17T15:11:59.799033Z
,0.55,-3.05,-2.56,2025-03-17T15:12:00.90196Z
,1.59,-3.97,-1.77,2025-03-17T15:12:02.003174Z
,0.92,-3.72,-2.2,2025-03-17T15:12:03.112248Z
,2.26,-2.75,-2.69,2025-03-17T15:12:04.213412Z
,0.31,-3.3,-2.44,2025-03-17T15:12:05.326102Z
,0.61,-3.97,-2.69,2025-03-17T15:12:06.41885Z
,1.65,-4.88,-1.4,2025-03-17T15:12:07.528379Z
,0.79,-3.78,-2.75,2025-03-17T15:12:08.630129Z
,6.23,33.26,73.79,2025-03-17T15:12:09.73405Z
,10.13,-6.77,-5.92,2025-03-17T15:12:10.838507Z
