time,value
2025-03-27T03:50:40.692752674Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:41.702836071Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:42.712631267Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:43.72320828Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:44.740637552Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:45.78841687Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:46.752558782Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:47.761690467Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:48.76321627Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:49.772332895Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:50.782357247Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:51.822649524Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:52.822455546Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:53.822871257Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:54.850549074Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:55.852022685Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:56.851977165Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:57.889244664Z,"{""lat"":30.5162678,""lon"":76.6598618}"
2025-03-27T03:50:58.864611999Z,"{""lat"":30.5162678,""lon"":76.6598618}"
2025-03-27T03:50:59.89287Z,"{""lat"":30.5162678,""lon"":76.6598618}"
2025-03-27T03:51:00.950812962Z,"{""lat"":30.5162678,""lon"":76.6598618}"
2025-03-27T03:51:01.902252155Z,"{""lat"":30.5162678,""lon"":76.6598618}"
2025-03-27T03:51:02.893130947Z,"{""lat"":30.5162678,""lon"":76.6598618}"
2025-03-27T03:51:03.913541032Z,"{""lat"":30.5162678,""lon"":76.6598618}"
2025-03-27T03:51:04.92307868Z,"{""lat"":30.5163032,""lon"":76.6599152}"
2025-03-27T03:51:05.932777875Z,"{""lat"":30.5163032,""lon"":76.6599152}"
